respondent_id,age_group,gender,region,education_level,employment_status,income_band,weekly_behaviour_frequency,monthly_spend,previous_action_attempts,engagement_minutes_monthly,awareness_score,trust_score,confidence_score,change_intention_score,perceived_social_norm_score,service_satisfaction_score,motivation_health,motivation_financial,motivation_social,motivation_convenience,barrier_cost,barrier_time,barrier_habit,barrier_low_confidence,barrier_information,used_digital_tool,sought_support,recent_positive_action,would_recommend_service,preferred_information_channel,preferred_support_type,open_feedback,synthetic_true_segment,survey_weight_seed
R00015,30-44,Male,Central,Secondary,Employed,Prefer not to say,4,121.47,3,31,3,4,3,3,3,4,3,4,5,3,2,3,5,4,,Yes,Yes,Yes,No,Search engine,One-to-one support,Clearer information would help.,Interested but Uncertain,0.9622
R00016,45-59,Male,South,Postgraduate,Employed,Lower-middle,3,,2,81,5,4,4,5,4,3,5,5,5,5,2,3,3,4,2,No,Yes,Yes,Yes,Community organisation,One-to-one support,I need more confidence before taking action.,Ready for Change,1.1176
R00017,30-44,Non-binary,North,Undergraduate,Retired,Upper-middle,6,86.19,0,44,4,2,2,2,2,2,2,4,1,2,5,4,5,5,3,No,No,No,No,Email,No support,Personal advice would be useful.,Habit-Driven and Resistant,1.1268
R00018,45-59,Female,South,Undergraduate,Self-employed,Lower-middle,5,98.18,2,48,3,5,4,4,3,5,5,2,3,,2,3,3,3,3,No,Yes,Yes,Yes,Social media,One-to-one support,Cost is the main issue for me.,Interested but Uncertain,1.0271
R00019,18-29,Female,Central,Secondary,Unemployed,Low,7,75.33,0,35,2,2,2,1,3,2,3,1,1,2,4,4,5,3,3,Yes,Yes,No,No,Social media,Digital coaching,I am satisfied with the available options.,Habit-Driven and Resistant,0.9158
R00020,45-59,Male,South,Vocational,Employed,Lower-middle,4,72.7,0,96,5,2,4,3,4,3,2,3,5,3,1,2,2,2,2,Yes,No,Yes,No,Healthcare professional,One-to-one support,I prefer flexible support that fits my routine.,Engaged and Confident,1.0755
R00021,45-59,Male,North,Secondary,Unemployed,Upper-middle,4,61.89,2,93,4,,4,3,5,2,4,3,2,5,2,3,2,1,3,No,Yes,Yes,No,Healthcare professional,No support,I prefer flexible support that fits my routine.,Engaged and Confident,0.9049
R00022,45-59,Female,East,Vocational,Employed,Low,2,71.94,1,67,4,4,3,3,3,4,4,4,3,3,3,1,1,2,4,No,No,Yes,No,Community organisation,Digital coaching,Clearer information would help.,Engaged and Confident,0.9621
R00023,30-44,Male,West,Undergraduate,Student,Upper-middle,5,141.18,0,42,2,3,2,3,5,2,4,3,5,3,5,,4,4,2,Yes,Yes,No,No,Friends or family,One-to-one support,Digital tools are convenient.,Interested but Uncertain,1.0258
R00024,45-59,Female,East,Undergraduate,Self-employed,Upper-middle,4,77.34,2,30,3,3,3,2,4,3,5,4,3,2,1,3,4,3,3,No,Yes,No,No,Healthcare professional,Self-guided tools,I am satisfied with the available options.,Interested but Uncertain,1.3504
R00025,30-44,Male,East,Postgraduate,Self-employed,Low,3,110.16,3,68,3,4,3,,5,4,4,4,4,5,3,2,2,2,2,Yes,No,No,No,Search engine,Self-guided tools,Clearer information would help.,Engaged and Confident,1.0575
R00026,30-44,Male,West,Undergraduate,Employed,,5,120.84,1,37,3,2,2,2,2,,3,2,1,1,5,5,3,5,5,Yes,Yes,No,No,Healthcare professional,One-to-one support,I am satisfied with the available options.,Habit-Driven and Resistant,0.9885
R00027,,Female,East,Undergraduate,Employed,Low,2,,4,51,4,3,5,5,2,2,4,3,4,4,3,1,2,2,1,No,Yes,Yes,No,Healthcare professional,One-to-one support,Clearer information would help.,Engaged and Confident,1.115
R00028,60+,Male,East,Undergraduate,Employed,Upper-middle,4,106.05,3,78,4,3,5,3,3,4,5,3,5,4,2,1,3,1,2,Yes,Yes,No,Yes,Friends or family,Group support,Digital tools are convenient.,Engaged and Confident,0.9322
R00029,30-44,Female,West,Vocational,Retired,Lower-middle,1,94.53,1,19,4,3,5,4,4,3,3,3,5,2,4,1,2,2,1,Yes,Yes,No,No,Healthcare professional,Digital coaching,I am satisfied with the available options.,Engaged and Confident,1.1312
R00030,30-44,Female,South,Undergraduate,Self-employed,Low,6,132.89,4,16,2,3,2,3,3,2,3,2,1,1,3,5,4,4,3,Yes,No,Yes,No,Social media,No support,Personal advice would be useful.,Habit-Driven and Resistant,0.9773
R00031,45-59,Female,East,Postgraduate,Unemployed,Lower-middle,5,115.47,2,53,2,2,1,1,3,2,3,1,1,3,4,4,4,5,4,,No,No,No,Friends or family,Self-guided tools,Cost is the main issue for me.,Habit-Driven and Resistant,0.8723
R00032,30-44,Female,North,Secondary,Employed,,6,137.35,1,40,3,2,1,,3,4,2,2,3,3,4,4,5,3,3,No,No,No,No,Social media,Self-guided tools,,Habit-Driven and Resistant,0.979
R00033,30-44,Female,West,Undergraduate,Employed,Low,3,66.51,1,95,5,4,3,5,5,4,5,5,3,3,1,1,3,3,1,Yes,Yes,Yes,No,Healthcare professional,,,Ready for Change,1.0897
R00034,45-59,Male,North,Undergraduate,Employed,High,7,123.67,1,38,2,3,2,1,2,3,3,2,2,1,5,3,5,5,4,No,No,No,No,Social media,One-to-one support,Cost is the main issue for me.,Habit-Driven and Resistant,1.1916
R00035,45-59,Male,Central,Secondary,Self-employed,Upper-middle,4,77.11,1,20,4,5,4,5,4,3,5,5,5,5,2,3,3,2,2,Yes,Yes,Yes,Yes,Healthcare professional,Self-guided tools,I need more confidence before taking action.,Ready for Change,1.0761
R00036,18-29,Female,North,Secondary,Self-employed,Lower-middle,4,113.24,3,79,5,4,4,4,3,4,4,3,5,4,2,2,3,2,1,No,Yes,Yes,Yes,Search engine,One-to-one support,Cost is the main issue for me.,Ready for Change,0.906
R00037,30-44,Male,South,,Unemployed,Low,2,80.15,0,41,3,3,3,3,2,4,4,4,3,3,3,5,3,4,5,Yes,No,No,No,Social media,One-to-one support,,Interested but Uncertain,
R00038,30-44,Female,,Secondary,Self-employed,Lower-middle,2,61.46,0,24,4,4,4,4,3,4,5,5,5,5,2,1,2,3,1,Yes,No,Yes,No,Search engine,Group support,Personal advice would be useful.,Ready for Change,1.0722
R00039,18-29,Female,South,Vocational,Employed,High,7,94.98,4,35,4,4,3,4,4,3,4,5,3,5,3,4,3,5,2,Yes,No,No,Yes,Healthcare professional,Self-guided tools,I am satisfied with the available options.,Interested but Uncertain,1.0076
R00040,60+,Non-binary,North,Secondary,Retired,High,4,79.3,3,44,3,4,3,4,2,3,3,4,3,4,2,4,4,2,2,Yes,Yes,No,No,Friends or family,One-to-one support,,Interested but Uncertain,0.8539
R00041,30-44,Female,North,Vocational,Self-employed,Prefer not to say,5,71.48,1,50,4,4,3,3,3,3,4,4,5,3,3,3,4,3,4,Yes,No,No,No,Email,Self-guided tools,I prefer flexible support that fits my routine.,Interested but Uncertain,0.65
R00042,45-59,Male,North,Vocational,Employed,Low,6,130.51,0,46,3,2,2,3,1,4,2,2,2,1,,4,4,4,3,Yes,Yes,No,No,Search engine,Self-guided tools,,Habit-Driven and Resistant,0.8115
R00043,60+,Male,West,Postgraduate,Employed,Lower-middle,2,85.95,2,62,4,3,2,4,3,,4,2,4,5,2,3,3,4,3,No,No,No,No,Healthcare professional,One-to-one support,,Interested but Uncertain,0.9958
R00044,45-59,Female,West,Undergraduate,Employed,,4,61.92,1,84,4,5,5,4,5,4,4,5,5,3,4,2,3,1,3,No,No,Yes,Yes,Social media,One-to-one support,Digital tools are convenient.,Ready for Change,0.8547
R00045,30-44,Male,East,Undergraduate,Self-employed,Upper-middle,3,62.13,0,64,4,4,4,3,2,3,3,,3,2,1,2,3,1,3,No,Yes,No,No,Healthcare professional,No support,I prefer flexible support that fits my routine.,Engaged and Confident,1.0516
R00046,60+,Male,West,Secondary,Self-employed,Low,7,,0,73,4,2,,2,3,,4,,2,3,3,1,4,3,2,Yes,Yes,Yes,No,Social media,One-to-one support,Cost is the main issue for me.,Interested but Uncertain,1.0984
R00047,45-59,Female,North,Undergraduate,Employed,,2,84.73,0,36,,3,5,3,,4,4,5,4,3,3,2,3,1,1,Yes,Yes,Yes,Yes,,No support,Digital tools are convenient.,Engaged and Confident,0.8639
R00048,18-29,Male,West,Secondary,Unemployed,Upper-middle,5,99.76,1,,4,4,2,3,4,3,3,5,3,2,3,3,3,4,,Yes,Yes,Yes,No,Social media,One-to-one support,I prefer flexible support that fits my routine.,Interested but Uncertain,0.9683
R00049,30-44,Male,Central,Vocational,Employed,Upper-middle,4,90.74,2,51,5,4,4,3,4,4,5,3,3,5,1,1,3,2,3,Yes,Yes,Yes,Yes,Community organisation,Self-guided tools,I prefer flexible support that fits my routine.,Engaged and Confident,0.7704
R00050,45-59,Female,East,Undergraduate,Employed,Low,4,76.94,1,33,3,3,1,2,2,1,3,2,3,2,5,4,3,5,3,Yes,No,No,Yes,Friends or family,No support,Cost is the main issue for me.,Habit-Driven and Resistant,0.8779
R00051,45-59,Male,South,Secondary,Employed,Upper-middle,3,129.84,1,52,5,4,3,,3,2,4,4,3,3,4,3,3,4,4,Yes,Yes,No,No,Friends or family,Self-guided tools,Digital tools are convenient.,Interested but Uncertain,1.1016
R00052,30-44,Male,West,Postgraduate,Employed,Low,,111.78,1,38,3,4,4,4,3,4,3,4,4,2,4,1,3,1,3,Yes,No,Yes,Yes,Email,No support,Digital tools are convenient.,Engaged and Confident,0.9593
R00053,45-59,Female,South,Vocational,Retired,Upper-middle,5,121.03,0,25,3,1,2,2,4,3,2,2,3,2,4,5,5,4,5,No,Yes,No,No,Email,Group support,I am satisfied with the available options.,Habit-Driven and Resistant,0.9889
R00054,18-29,Female,South,Secondary,Employed,Prefer not to say,4,72.83,3,39,2,4,4,4,3,4,5,3,4,3,2,1,3,3,1,Yes,No,No,Yes,Healthcare professional,Digital coaching,Digital tools are convenient.,Engaged and Confident,0.9551
R00055,30-44,,North,Undergraduate,Retired,Low,2,86.89,2,20,2,3,3,2,2,3,4,4,5,2,3,1,3,5,2,No,Yes,Yes,No,Community organisation,Self-guided tools,Cost is the main issue for me.,Interested but Uncertain,1.0002
R00056,18-29,Male,South,Postgraduate,Employed,Lower-middle,4,102.58,1,66,3,3,3,3,5,4,5,5,5,4,3,2,2,4,2,Yes,Yes,No,No,Community organisation,One-to-one support,Personal advice would be useful.,Interested but Uncertain,1.0888
R00057,30-44,Prefer not to say,East,Undergraduate,Retired,High,4,127.63,5,44,4,5,5,5,3,3,4,3,4,4,3,2,,2,2,No,Yes,Yes,No,Social media,Self-guided tools,Cost is the main issue for me.,Engaged and Confident,0.9726
R00058,45-59,Male,South,Vocational,Employed,Low,3,99.72,2,45,4,3,3,4,2,4,5,4,4,4,3,2,2,2,3,Yes,No,No,Yes,Healthcare professional,Self-guided tools,I prefer flexible support that fits my routine.,Engaged and Confident,1.0697
R00059,30-44,Female,North,Undergraduate,Employed,Upper-middle,3,87.64,5,38,3,3,2,4,4,4,5,5,4,5,3,3,4,4,2,Yes,Yes,No,No,Email,Group support,I am satisfied with the available options.,Interested but Uncertain,0.847
R00060,30-44,Prefer not to say,West,Vocational,Employed,Upper-middle,5,69.78,3,49,3,3,3,4,2,3,3,4,,4,1,4,3,4,2,No,No,No,Yes,Social media,One-to-one support,Clearer information would help.,Interested but Uncertain,1.065
R00061,30-44,Male,Central,Secondary,Employed,Lower-middle,5,70.69,5,70,5,4,4,5,4,3,4,5,2,3,1,2,2,2,3,Yes,No,No,No,Social media,Group support,,Engaged and Confident,1.1641
R00062,30-44,Female,North,Vocational,Employed,,4,103.18,3,45,2,4,3,4,5,1,4,4,3,3,4,2,3,5,2,Yes,Yes,No,Yes,Friends or family,Digital coaching,Personal advice would be useful.,Interested but Uncertain,0.9957
R00063,30-44,Female,North,Undergraduate,Employed,Low,3,77.21,1,64,3,4,4,4,4,3,2,2,2,2,1,2,4,5,3,No,Yes,No,Yes,Community organisation,Self-guided tools,I prefer flexible support that fits my routine.,Interested but Uncertain,0.9076
R00064,45-59,Male,East,Vocational,Self-employed,High,5,,2,73,4,4,5,4,4,3,5,4,4,4,3,4,2,1,2,No,Yes,No,Yes,Friends or family,Digital coaching,,Engaged and Confident,0.8163
R00065,18-29,Female,Central,Undergraduate,Employed,Low,4,111.11,0,43,3,3,2,2,4,2,4,4,2,4,3,2,4,4,3,Yes,Yes,No,No,Social media,One-to-one support,Digital tools are convenient.,Interested but Uncertain,1.0396
R00066,45-59,Female,West,Vocational,Student,Lower-middle,4,100.58,3,55,3,4,3,4,3,2,3,4,3,3,3,2,3,2,3,Yes,Yes,Yes,Yes,Friends or family,,Personal advice would be useful.,Engaged and Confident,0.8707
R00067,30-44,Prefer not to say,South,Undergraduate,Employed,Low,4,86.2,1,50,2,3,3,3,2,4,3,1,4,3,2,4,3,4,1,No,,,Yes,Social media,One-to-one support,Digital tools are convenient.,Interested but Uncertain,0.8931
R00068,60+,Non-binary,East,Secondary,Employed,Low,2,77.29,2,33,3,5,4,4,5,2,4,3,4,3,2,1,3,1,2,Yes,Yes,Yes,Yes,Friends or family,Self-guided tools,,Engaged and Confident,1.0036
R00069,45-59,Female,North,Secondary,Student,Lower-middle,6,118.31,1,58,4,2,2,2,1,,3,2,1,1,5,5,4,4,5,Yes,No,Yes,No,Community organisation,Group support,,Habit-Driven and Resistant,0.8327
R00070,45-59,Female,Central,Secondary,Self-employed,Upper-middle,3,46.58,0,63,3,3,4,3,4,3,2,4,4,3,2,1,4,1,4,Yes,No,No,No,Search engine,Self-guided tools,Clearer information would help.,Engaged and Confident,1.0471
R00071,18-29,Female,South,Vocational,Employed,Upper-middle,4,94.19,0,43,5,4,4,5,4,2,5,5,5,4,3,3,4,4,1,Yes,Yes,Yes,No,Healthcare professional,,I need more confidence before taking action.,Ready for Change,0.8301
R00072,30-44,Female,East,Secondary,Student,High,4,99.44,1,47,3,3,4,4,3,4,5,5,3,5,3,3,3,1,2,Yes,No,Yes,Yes,Healthcare professional,Digital coaching,I am satisfied with the available options.,Engaged and Confident,0.7253
R00073,18-29,Female,Central,Secondary,Self-employed,Lower-middle,5,111.45,0,19,2,3,2,1,3,4,3,3,2,1,3,4,4,4,5,No,No,No,No,Social media,Digital coaching,Cost is the main issue for me.,Habit-Driven and Resistant,0.893
R00074,45-59,Female,South,Secondary,Unemployed,Lower-middle,5,72.31,0,38,4,2,1,1,3,4,2,3,4,1,3,4,5,4,4,No,Yes,No,No,Healthcare professional,Group support,I need more confidence before taking action.,Habit-Driven and Resistant,
R00075,18-29,Male,North,Vocational,Unemployed,Prefer not to say,3,106.84,2,107,5,2,4,4,5,3,4,4,4,5,3,2,3,2,1,Yes,Yes,No,No,Social media,No support,Clearer information would help.,Engaged and Confident,0.916
R00076,45-59,Male,South,Undergraduate,Unemployed,Low,7,94.74,0,32,1,4,1,1,3,2,2,2,2,2,5,4,4,4,2,Yes,Yes,Yes,No,Friends or family,No support,,Habit-Driven and Resistant,1.1472
R00077,18-29,Female,East,Undergraduate,Employed,Lower-middle,6,77.57,4,67,4,3,5,5,4,4,4,,2,4,3,1,2,2,3,Yes,Yes,Yes,Yes,Social media,No support,I need more confidence before taking action.,Engaged and Confident,1.0238
R00078,45-59,Non-binary,,Postgraduate,Unemployed,Lower-middle,4,,3,52,3,5,5,4,,4,5,4,4,3,2,1,4,2,2,Yes,Yes,No,Yes,Friends or family,Self-guided tools,Clearer information would help.,Engaged and Confident,1.0982
R00079,30-44,Female,West,Secondary,Student,High,7,84.5,5,58,2,3,3,4,4,1,2,3,3,1,4,4,5,4,5,,Yes,Yes,No,Social media,Self-guided tools,,Habit-Driven and Resistant,0.8946
R00080,45-59,Female,East,Undergraduate,Employed,Low,3,75.69,1,51,3,3,2,3,4,3,3,4,3,3,3,2,3,4,3,Yes,Yes,No,Yes,Community organisation,Self-guided tools,Clearer information would help.,Interested but Uncertain,0.8595
R00081,30-44,Female,South,Secondary,Employed,Lower-middle,7,119.22,1,7,1,3,2,3,1,1,1,2,3,2,5,3,5,3,2,No,No,No,No,Search engine,No support,I am satisfied with the available options.,Habit-Driven and Resistant,0.8659
R00082,45-59,Female,East,Vocational,Unemployed,Upper-middle,3,54.93,2,87,5,5,4,4,5,3,,4,4,5,2,2,2,1,1,Yes,No,Yes,No,Community organisation,Self-guided tools,Personal advice would be useful.,Engaged and Confident,0.8598
R00083,30-44,Female,West,Undergraduate,Student,Upper-middle,4,,1,63,3,3,3,3,4,3,4,5,3,3,2,1,2,,3,Yes,Yes,Yes,,Email,Digital coaching,Digital tools are convenient.,Engaged and Confident,1.0256
R00084,18-29,Male,South,Vocational,Employed,High,7,79.34,0,39,2,,,2,1,4,3,2,2,2,4,3,5,2,3,Yes,Yes,Yes,Yes,Search engine,Group support,Digital tools are convenient.,Habit-Driven and Resistant,1.092
R00085,45-59,Male,West,Undergraduate,Employed,Lower-middle,4,88.26,2,59,4,5,4,4,3,4,4,4,3,3,2,2,2,2,1,Yes,No,,,Search engine,Self-guided tools,Personal advice would be useful.,Engaged and Confident,1.078
R00086,30-44,Female,Central,Secondary,Employed,Lower-middle,1,128.07,6,48,2,4,4,5,5,4,4,5,5,5,3,2,3,3,1,Yes,Yes,Yes,Yes,Community organisation,Self-guided tools,Clearer information would help.,Ready for Change,1.0516
R00087,60+,Female,Central,Undergraduate,Employed,Upper-middle,6,72.3,3,30,4,4,1,4,5,3,4,4,2,4,3,1,4,4,2,,Yes,Yes,No,Social media,Digital coaching,I need more confidence before taking action.,Interested but Uncertain,1.1605
R00088,18-29,Male,North,Secondary,Employed,Low,5,129.22,1,29,1,1,2,3,4,3,1,3,2,2,5,3,4,4,4,Yes,No,No,No,Email,One-to-one support,Clearer information would help.,Habit-Driven and Resistant,0.8001
R00089,45-59,Female,West,Undergraduate,Student,Upper-middle,7,49.68,2,33,2,5,3,4,5,3,3,,4,5,2,2,3,3,2,No,Yes,Yes,Yes,Social media,Self-guided tools,Clearer information would help.,Interested but Uncertain,0.8988
R00090,30-44,Female,South,Postgraduate,Employed,Lower-middle,3,66.27,2,30,3,3,5,3,3,3,5,4,3,3,2,3,1,1,3,Yes,No,No,No,Social media,Digital coaching,Digital tools are convenient.,Engaged and Confident,1.257
R00091,30-44,Male,East,Postgraduate,Unemployed,Upper-middle,4,101.37,1,63,3,4,4,3,5,3,4,3,3,4,2,1,3,2,3,Yes,No,Yes,Yes,Healthcare professional,Self-guided tools,Digital tools are convenient.,Engaged and Confident,1.0295
R00092,45-59,Male,North,Postgraduate,Employed,Upper-middle,5,109.15,1,57,5,5,4,4,3,4,4,4,5,4,2,,3,3,1,Yes,Yes,Yes,Yes,Social media,One-to-one support,I prefer flexible support that fits my routine.,Engaged and Confident,1.0587
R00093,30-44,Male,South,Secondary,Employed,Lower-middle,0,60.13,3,55,4,4,4,5,4,4,4,4,3,4,2,2,2,2,2,Yes,Yes,Yes,Yes,Search engine,One-to-one support,Clearer information would help.,Ready for Change,1.0448
R00094,18-29,Male,East,Vocational,Employed,Lower-middle,5,78.87,3,47,4,4,3,5,4,,5,5,4,4,1,1,2,2,2,No,Yes,Yes,No,Friends or family,Self-guided tools,,Ready for Change,1.03
R00095,60+,Male,South,Secondary,Employed,High,6,127.2,3,55,3,3,2,4,3,3,3,2,5,3,3,2,3,3,3,No,Yes,No,No,Search engine,No support,Digital tools are convenient.,Interested but Uncertain,0.9505
R00096,30-44,Male,Central,Postgraduate,Student,Prefer not to say,3,85.87,2,51,4,3,2,3,5,3,5,4,2,2,3,4,3,4,4,Yes,Yes,No,No,Search engine,Group support,Personal advice would be useful.,Interested but Uncertain,1.0388
R00097,18-29,Male,East,Undergraduate,Employed,,4,93.83,4,62,3,2,2,3,3,2,5,5,3,4,2,2,3,4,2,Yes,No,No,No,Friends or family,One-to-one support,,Interested but Uncertain,1.0536
R00098,45-59,Female,Central,Undergraduate,Employed,Lower-middle,6,106.6,2,63,5,4,5,5,4,3,4,5,4,3,2,1,3,1,1,Yes,Yes,Yes,No,Friends or family,No support,I need more confidence before taking action.,Ready for Change,1.2811
R00099,18-29,Male,West,Vocational,Employed,High,4,93.22,3,78,,4,4,4,5,5,5,3,4,3,2,1,2,3,4,No,No,No,No,Social media,Digital coaching,,Engaged and Confident,1.117
R00100,60+,Female,Central,Vocational,Self-employed,Low,3,119.59,3,52,2,4,2,4,2,3,3,2,3,5,4,3,4,4,2,Yes,Yes,Yes,No,Healthcare professional,Group support,I prefer flexible support that fits my routine.,Interested but Uncertain,1.0764
R00101,45-59,Male,Central,Secondary,Retired,Upper-middle,5,,2,55,3,5,4,4,4,5,5,5,3,4,3,1,2,3,1,Yes,Yes,Yes,,Community organisation,Digital coaching,Digital tools are convenient.,Engaged and Confident,1.012
R00102,18-29,Male,North,Postgraduate,Self-employed,Upper-middle,6,115.86,3,40,3,3,4,3,5,2,3,1,4,4,2,2,2,2,1,No,No,Yes,No,Email,No support,I prefer flexible support that fits my routine.,Engaged and Confident,0.7886
R00103,30-44,Male,West,Secondary,Retired,Lower-middle,7,142.95,0,49,2,3,2,1,3,2,1,2,1,3,4,5,4,4,4,No,No,No,No,Healthcare professional,One-to-one support,Clearer information would help.,Habit-Driven and Resistant,1.2516
R00104,45-59,,North,Undergraduate,Employed,Lower-middle,0,41.85,1,50,2,3,5,3,3,4,4,2,4,3,1,3,3,1,2,Yes,Yes,No,Yes,Email,One-to-one support,Clearer information would help.,Engaged and Confident,0.9254
R00105,30-44,Female,Central,Vocational,Employed,Lower-middle,2,85.64,2,34,3,2,3,4,3,2,2,3,4,3,3,3,4,3,2,No,Yes,No,No,Social media,Self-guided tools,Cost is the main issue for me.,Interested but Uncertain,1.1244
R00106,18-29,Male,South,Secondary,Employed,Lower-middle,3,108.98,3,55,3,4,2,3,4,2,3,4,3,5,3,2,3,4,2,Yes,Yes,No,No,Social media,Digital coaching,I prefer flexible support that fits my routine.,Interested but Uncertain,1.0457
R00107,30-44,Male,Central,Secondary,Employed,Lower-middle,2,112.49,1,55,4,5,3,3,3,2,3,,4,3,2,2,2,4,3,Yes,Yes,Yes,No,Email,Self-guided tools,,Interested but Uncertain,1.1389
R00108,18-29,Male,Central,Undergraduate,Employed,Upper-middle,5,90.26,1,44,3,,3,4,3,2,5,4,3,2,4,3,4,2,1,Yes,Yes,No,Yes,,One-to-one support,,Interested but Uncertain,1.1212
R00109,30-44,Male,South,Secondary,Self-employed,Prefer not to say,4,105.33,2,40,2,3,3,3,3,4,5,3,4,4,2,2,3,4,3,Yes,Yes,No,No,Search engine,Group support,,Interested but Uncertain,0.7512
R00110,30-44,Male,North,Secondary,Retired,Lower-middle,3,74.24,1,38,3,4,2,3,3,3,3,4,2,4,3,3,3,4,2,No,Yes,Yes,Yes,Search engine,Self-guided tools,,Interested but Uncertain,1.0166
R00111,30-44,Female,,Undergraduate,Employed,,5,78.93,0,79,5,3,4,4,3,4,3,3,4,4,3,2,3,1,2,No,Yes,Yes,No,Search engine,Self-guided tools,I prefer flexible support that fits my routine.,Engaged and Confident,1.0333
R00112,30-44,Male,East,Secondary,Student,Prefer not to say,2,107.03,3,79,3,2,1,4,3,3,5,3,4,2,4,4,5,3,2,,Yes,No,No,Email,Digital coaching,I prefer flexible support that fits my routine.,Interested but Uncertain,0.8712
R00113,30-44,Female,West,Vocational,Employed,,5,50.29,3,57,3,4,5,4,4,3,4,4,5,5,2,2,2,2,1,Yes,Yes,Yes,No,Search engine,Self-guided tools,Clearer information would help.,Ready for Change,1.367
R00114,30-44,Male,East,Postgraduate,Employed,Lower-middle,4,82.93,2,49,4,4,4,5,5,3,4,3,5,4,2,2,3,2,3,,Yes,,No,Community organisation,Self-guided tools,Clearer information would help.,Ready for Change,0.9292
R00115,18-29,Female,South,Undergraduate,Employed,Upper-middle,2,69.45,1,48,4,5,5,3,5,2,5,4,5,3,2,2,2,3,2,No,Yes,No,Yes,Friends or family,One-to-one support,Digital tools are convenient.,Engaged and Confident,0.8647
R00116,45-59,Male,North,Vocational,Employed,Upper-middle,4,81.0,4,54,3,5,4,5,5,3,4,5,4,4,3,2,3,2,1,Yes,Yes,Yes,No,Healthcare professional,Self-guided tools,Clearer information would help.,Ready for Change,0.8342
